"Rep Date
تاريخ الحادث","
Rep Year
 سنة الحادث
","No of accidents
 عدد الحوادث","No of Injured 
عدد الاصابات"
13/01/2016,2016,1,0
13/01/2016,2016,1,0
13/01/2016,2016,1,0
13/01/2016,2016,2,0
13/01/2016,2016,4,0
13/01/2016,2016,6,0
13/01/2016,2016,3,0
13/01/2016,2016,15,0
13/01/2016,2016,5,0
13/01/2016,2016,7,0
13/01/2016,2016,16,0
13/01/2016,2016,8,0
13/01/2016,2016,13,0
13/01/2016,2016,11,0
13/01/2016,2016,9,0
13/01/2016,2016,26,0
13/01/2016,2016,14,0
13/01/2016,2016,24,0
13/02/2016,2016,1,0
13/02/2016,2016,1,0
13/02/2016,2016,1,0
13/02/2016,2016,4,0
13/02/2016,2016,2,0
13/02/2016,2016,3,0
13/02/2016,2016,5,0
13/02/2016,2016,8,0
13/02/2016,2016,7,0
13/02/2016,2016,13,0
13/02/2016,2016,11,0
13/02/2016,2016,10,0
13/02/2016,2016,21,0
13/02/2016,2016,30,0
13/02/2016,2016,17,0
13/03/2016,2016,1,0
13/03/2016,2016,1,0
13/03/2016,2016,1,0
13/03/2016,2016,1,0
13/03/2016,2016,1,0
13/03/2016,2016,2,0
13/03/2016,2016,3,0
13/03/2016,2016,4,0
13/03/2016,2016,25,0
13/03/2016,2016,5,0
13/03/2016,2016,8,0
13/03/2016,2016,19,0
13/03/2016,2016,7,0
13/03/2016,2016,13,0
13/03/2016,2016,15,0
13/03/2016,2016,9,0
13/03/2016,2016,14,0
13/03/2016,2016,20,0
13/03/2016,2016,16,0
13/03/2016,2016,30,0
13/03/2016,2016,6,0
13/03/2016,2016,12,0
13/03/2016,2016,29,0
13/03/2016,2016,17,0
13/04/2016,2016,1,0
13/04/2016,2016,2,0
13/04/2016,2016,1,0
13/04/2016,2016,1,0
13/04/2016,2016,1,0
13/04/2016,2016,2,0
13/04/2016,2016,3,0
13/04/2016,2016,8,0
13/04/2016,2016,4,0
13/04/2016,2016,16,0
13/04/2016,2016,6,0
13/04/2016,2016,10,0
13/04/2016,2016,7,0
13/04/2016,2016,5,0
13/04/2016,2016,20,0
13/04/2016,2016,11,0
13/04/2016,2016,17,0
13/04/2016,2016,15,0
13/04/2016,2016,26,0
13/04/2016,2016,13,0
13/04/2016,2016,22,0
13/05/2016,2016,1,0
13/05/2016,2016,1,0
13/05/2016,2016,1,0
13/05/2016,2016,1,0
13/05/2016,2016,2,0
13/05/2016,2016,3,0
13/05/2016,2016,6,0
13/05/2016,2016,5,0
13/05/2016,2016,4,0
13/05/2016,2016,7,0
13/05/2016,2016,8,0
13/05/2016,2016,9,0
13/05/2016,2016,26,0
13/05/2016,2016,13,0
13/06/2016,2016,1,0
13/06/2016,2016,1,0
13/06/2016,2016,1,0
13/06/2016,2016,2,0
13/06/2016,2016,6,0
13/06/2016,2016,3,0
13/06/2016,2016,15,0
13/06/2016,2016,4,0
13/06/2016,2016,7,0
13/06/2016,2016,5,0
13/06/2016,2016,8,0
13/06/2016,2016,21,0
13/06/2016,2016,11,0
